Dataset,Accuracy (%),HW Cycles,FPGA Latency (µs),Wall Time (µs)
iris,93.33333333333333,30,0.3,1042.94199263677
wine,100.0,36,0.36,1023.6620000796393
cancer,94.73684210526315,114,1.14,1193.5809889109805
mnist,92.77777777777779,360,3.6,2038.4550007293
