Dataset,Accuracy (%),HW Cycles,FPGA Latency (µs),Wall Time (µs)
iris,100.0,3600,36.0,1017.9509990848601
wine,75.0,5112,51.12,1027.0030034007505
cancer,92.98245614035088,51870,518.7,1537.2189955087379
mnist,98.61111111111111,517320,5173.2,6580.220986506902
