Dataset,Accuracy (%),HW Cycles,FPGA Latency (µs),Wall Time (µs)
iris,96.66666666666667,2430,24.3,1035.526001942344
wine,97.22222222222221,5508,55.08,1028.5720054525882
cancer,97.36842105263158,14592,145.92,1310.9840074321255
mnist,99.16666666666667,2095200,20952.0,25067.089998628944
