Dataset,Accuracy (%),HW Cycles,FPGA Latency (µs),Wall Time (µs)
iris,100.0,570,5.7,2499.919995898381
wine,97.22222222222221,1260,12.6,1613.1320007843897
cancer,98.24561403508771,3876,38.76,3535.217998432927
mnist,97.22222222222221,26640,266.4,19517.77200156357
