Dataset,Accuracy (%),HW Cycles,FPGA Latency (µs),Wall Time (µs)
iris,93.33333333333333,73,0.73,1035.5879931012169
wine,94.44444444444444,111,1.11,1031.5569961676374
cancer,90.35087719298247,496,4.96,1041.2490082671866
mnist,81.11111111111111,2702,27.02,1367.028002277948
